Per Capita GDP at current prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Belgium,"2,778","3,093","3,850","4,931","5,777","6,759","7,305","8,492","10,360","11,881","12,938","10,672","9,378","8,873","8,477","8,766","12,183","15,146","16,429","16,589","20,688","21,140","23,487","22,386","24,304","28,496","27,624","24,977","25,507","25,416","23,169","23,066","24,977","30,595","35,349","36,676","38,543","44,073","48,116","44,638","44,241","47,887","44,937","46,632","47,367","40,278"
Belize,206,256,327,523,686,784,609,772,870,999,"1,351","1,307","1,183","1,213","1,315","1,269","1,344","1,586","1,759","1,979","2,162","2,264","2,408","2,684","2,738","2,834","3,001","2,953","2,991","3,064","3,364","3,419","3,557","3,680","3,832","3,933","4,187","4,325","4,470","4,259","4,344","4,517","4,674","4,719","4,884","4,789"
Benin,111,115,138,166,174,207,215,229,271,321,399,367,348,293,273,263,327,371,373,336,398,390,425,414,281,392,413,385,405,399,370,374,412,509,571,587,609,686,795,768,733,799,808,883,903,779
Bermuda,"5,079","5,692","6,280","7,116","8,174","8,942","9,932","10,701","11,495","13,275","15,835","17,204","19,066","21,094","22,058","24,239","26,731","29,060","30,839","32,481","33,398","34,483","34,861","36,918","38,194","40,782","43,087","46,362","49,290","52,141","54,349","57,221","60,935","64,532","68,934","74,753","82,507","90,881","95,607","92,354","91,555","88,401","88,389","89,843","90,600","94,400"
Bhutan,212,220,224,243,276,249,244,261,243,263,312,341,350,384,368,367,421,490,512,480,511,436,444,426,508,568,597,684,675,733,778,820,897,"1,009","1,108","1,258","1,346","1,755","1,811","1,787","2,201","2,486","2,452","2,383","2,561","2,677"
Bolivia (Plurinational State of),224,238,272,260,428,479,537,528,565,599,630,680,676,657,663,664,647,667,697,701,710,764,791,788,806,887,958,"1,007","1,059","1,013","1,007",958,914,917,978,"1,046","1,234","1,390","1,737","1,777","1,981","2,378","2,645","2,948","3,124","3,077"
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,"1,713","1,378","1,101",877,706,524,742,"1,027","1,149","1,270","1,501","1,565","1,811","2,283","2,722","2,928","3,352","4,108","4,975","4,586","4,475","4,861","4,495","4,748","4,852","4,265"
Botswana,96,123,155,221,297,333,348,431,494,620,856,943,798,837,847,708,916,"1,223","1,375","2,254","2,697","2,723","2,786","2,721","2,767","3,001","3,008","3,050","2,855","3,210","3,333","3,115","3,044","4,149","4,879","5,328","5,342","5,667","5,562","5,177","6,246","7,426","6,886","6,800","7,150","6,361"
Brazil,367,400,502,694,868,996,"1,150","1,307","1,449","1,559","1,564","1,803","1,865","1,301","1,310","1,370","1,613","1,735","1,902","2,540","2,706","2,476","2,334","2,579","3,622","4,781","5,140","5,250","5,007","3,431","3,711","3,143","2,828","3,044","3,596","4,731","5,808","7,247","8,707","8,475","11,121","13,039","12,158","12,072","11,729","8,528"
British Virgin Islands,"2,023","1,717","1,765","1,971","2,330","2,537","2,747","2,827","3,263","4,023","4,923","5,234","5,951","6,444","6,780","6,754","7,021","7,993","8,591","9,826","8,894","8,099","10,151","13,342","17,001","21,547","23,840","27,089","30,467","33,340","36,380","38,412","36,507","32,364","33,100","37,550","39,401","40,873","38,744","33,119","32,840","32,824","31,895","31,509","30,501","30,144"
