date,gdp_pc
Subject Descriptor,"Gross domestic product per capita, constant prices"
Units,National currency
Scale,Units
Country/Series-specific Notes,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
2016,68842.4200
2017,69288.8800
2018,70223.5700
2019,71190.1300
2020,72067.8600
2021,72918.3000
2022,73712.6800
