GDP/breakdown at current prices in National currency (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Currency,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,Afghani,Manufacturing (ISIC D),"16,823,892","17,614,876","15,348,639","16,674,512","20,736,068","22,765,265","24,586,442","28,409,796","31,736,192","34,592,661","34,342,099","36,758,330","37,323,343","36,645,183","36,237,345","36,529,993","35,062,580","31,169,559","22,653,058","25,865,525","37,076,937","33,667,324","20,912,490","13,854,089","72,440,770","143,937,500","524,493,796","765,781,189","930,935,378","16,996,491,852","28,182,085,400","33,196,080,503","34,288,000,000","37,462,000,000","43,848,000,000","51,150,000,000","57,030,000,000","86,149,000,000","91,879,000,000","80,437,000,000","90,943,000,000","117,171,000,000","130,850,000,000","130,985,000,000","135,889,000,000","140,434,429,371"
Afghanistan,Afghani,Construction (ISIC F),"2,126,877","2,226,881","1,940,340","2,108,025","2,621,489","2,877,746","3,108,579","3,591,590","4,010,598","4,376,325","4,340,127","4,639,979","4,737,095","4,616,724","4,557,880","4,710,823","4,316,146","3,901,230","3,223,195","4,012,549","5,692,456","5,383,798","6,825,887","5,257,299","32,520,145","137,166,667","411,203,262","493,084,142","492,727,834","7,402,850,361","10,107,135,500","10,904,450,083","8,700,000,000","12,240,000,000","20,714,000,000","30,135,000,000","39,371,000,000","41,500,000,000","43,741,000,000","49,954,000,000","57,552,000,000","65,199,000,000","81,255,000,000","93,868,000,000","107,470,000,000","124,280,322,952"
Afghanistan,Afghani,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)","10,289,633","10,772,878","9,388,503","10,197,524","12,679,868","13,932,281","15,027,353","17,365,868","19,470,921","21,061,024","20,998,097","22,801,699","22,199,747","22,694,370","23,445,952","18,979,912","24,363,710","22,754,643","12,295,704","7,832,819","50,968,982","23,088,600","24,383,950","16,520,771","58,536,261","260,083,333","637,910,723","625,840,695","511,669,198","6,289,564,294","7,025,691,750","7,948,424,458","20,350,000,000","22,681,000,000","24,708,000,000","28,786,000,000","32,010,000,000","44,850,000,000","48,097,000,000","49,813,000,000","59,678,000,000","71,640,000,000","95,296,000,000","101,126,000,000","99,415,841,014","107,146,637,732"
Afghanistan,Afghani,"Transport, storage and communication (ISIC I)","3,814,182","3,993,406","3,479,600","3,780,546","4,700,644","5,160,820","5,576,001","6,437,060","7,195,257","7,855,134","7,759,257","8,349,554","8,514,730","8,154,321","8,362,808","8,440,014","7,195,264","7,964,378","6,178,212","7,686,080","11,147,093","10,767,596","12,801,700","4,381,926","24,358,226","177,083,333","537,839,572","653,407,829","661,511,643","10,069,234,714","13,928,125,750","16,356,675,125","20,274,000,000","31,032,000,000","37,443,000,000","37,888,000,000","47,466,000,000","71,926,000,000","91,481,000,000","116,364,000,000","145,913,000,000","174,418,000,000","242,580,000,000","293,697,000,000","288,114,000,000","308,382,220,023"
Afghanistan,Afghani,Other Activities (ISIC J-P),"5,806,393","6,079,390","5,297,214","5,754,861","7,156,623","7,856,737","8,485,741","9,805,046","10,951,856","11,941,303","11,851,428","12,680,686","12,895,877","12,635,354","12,487,373","12,680,262","12,012,347","10,722,057","7,458,381","8,753,731","12,214,745","11,506,350","13,039,518","8,976,370","50,969,482","204,583,334","587,277,824","674,358,763","645,323,328","9,285,103,747","12,140,888,375","11,298,586,833","24,099,000,000","27,444,000,000","32,663,000,000","45,174,000,000","51,361,000,000","71,106,000,000","85,248,000,000","99,734,000,000","134,305,000,000","160,146,000,000","187,832,000,000","201,832,000,000","210,222,128,940","211,103,955,528"
Afghanistan,Afghani,Total Value Added,"78,697,995","82,397,912","71,798,260","77,998,114","96,997,652","106,497,416","114,997,241","132,896,774","148,496,378","161,715,606","160,707,785","172,131,838","174,008,851","172,010,942","170,039,200","168,091,889","168,015,989","146,111,420","134,807,469","169,108,941","183,251,531","169,007,742","175,813,389","134,817,588","898,916,321","2,696,916,667","7,695,583,929","8,841,712,917","8,528,094,729","124,702,133,827","167,260,766,750","171,975,001,917","195,521,000,000","230,234,000,000","249,281,000,000","306,668,000,000","351,535,000,000","492,717,000,000","513,587,000,000","596,696,000,000","700,804,000,000","841,317,000,000","1,024,352,000,000","1,126,871,000,000","1,144,693,969,954","1,174,998,522,578"
Albania,Lek,Final consumption expenditure,"7,591,456,824","7,809,842,024","8,034,541,337","8,263,282,773","8,503,419,589","8,748,178,017","8,989,322,471","9,266,508,644","9,525,546,277","9,753,273,697","10,150,000,000","10,347,000,000","10,468,000,000","10,986,000,000","11,386,000,000","11,449,000,000","11,957,000,000","12,448,000,000","12,372,000,000","13,037,000,000","13,942,000,000","17,896,530,978","84,079,815,898","161,708,995,034","195,243,640,652","230,756,795,501","367,326,883,571","369,799,813,152","416,487,858,073","434,205,407,518","446,991,588,850","468,731,043,213","532,045,189,102","593,555,162,404","663,841,435,485","719,467,641,963","766,129,262,668","869,310,949,366","1,006,633,061,823","1,047,649,212,107","1,102,298,352,662","1,156,694,788,040","1,179,193,589,286","1,201,115,150,729","1,267,367,403,304","1,289,054,427,994"
Albania,Lek,Household consumption expenditure (including Non-profit institutions serving households),"6,562,803,916","6,751,434,817","6,945,820,110","7,143,799,430","7,350,485,573","7,563,205,202","7,772,240,602","8,007,116,931","8,239,022,309","8,434,574,958","8,755,000,000","8,976,000,000","9,048,000,000","9,519,000,000","9,833,000,000","9,881,000,000","10,345,000,000","10,785,000,000","10,764,000,000","11,392,000,000","12,227,000,000","14,400,464,200","74,449,595,539","144,616,537,185","170,589,277,012","200,489,219,511","335,866,541,416","335,065,021,040","375,017,012,901","387,760,781,860","398,145,805,138","408,809,307,570","463,328,554,271","518,898,816,128","582,371,493,088","632,047,567,801","677,817,052,811","772,168,177,880","894,470,173,595","920,564,394,848","963,986,688,906","1,013,962,157,952","1,034,652,691,613","1,054,317,517,258","1,107,578,914,968","1,114,770,114,313"
Albania,Lek,General government final consumption expenditure,"1,028,652,908","1,058,407,207","1,088,721,227","1,119,483,343","1,152,934,016","1,184,972,815","1,217,081,869","1,259,391,713","1,286,523,968","1,318,698,739","1,395,000,000","1,371,000,000","1,420,000,000","1,467,000,000","1,553,000,000","1,568,000,000","1,612,000,000","1,663,000,000","1,608,000,000","1,645,000,000","1,715,000,000","3,496,066,778","9,630,220,359","17,092,457,849","24,654,363,640","30,267,575,990","31,460,342,155","34,734,792,112","41,470,845,173","46,444,625,658","48,845,783,712","59,921,735,643","68,716,634,831","74,656,346,276","81,469,942,396","87,420,074,163","88,312,209,857","97,142,771,487","112,162,888,228","127,084,817,259","138,311,663,756","142,732,630,088","144,540,897,673","146,797,633,471","159,788,488,336","174,284,313,680"
Albania,Lek,Gross capital formation,"4,124,250,102","4,241,593,036","4,361,719,825","4,493,953,222","4,614,034,834","4,742,896,827","4,915,131,896","4,993,780,839","5,151,461,420","5,468,656,296","5,233,000,000","5,655,000,000","6,508,000,000","5,963,000,000","5,235,000,000","5,672,000,000","5,456,000,000","4,817,000,000","4,971,000,000","5,926,000,000","4,108,000,000","1,161,993,339","2,544,580,569","15,968,865,887","31,858,747,939","46,578,697,807","48,015,106,414","57,596,598,428","85,815,963,148","109,844,018,984","162,939,904,133","219,675,943,144","231,692,446,943","275,768,994,655","274,254,292,804","295,827,259,676","337,575,309,144","367,197,890,520","386,648,862,191","395,319,195,954","375,719,906,943","408,572,585,990","377,566,023,426","382,998,679,819","398,036,617,740","409,941,756,860"
